Charms Office Assistant - Inventory - Tillicum MS Band
Printed 08/20/2026

Category,Description,Brand,Model,Serial #,Barcode,District No.,Case #,Cond,Quantity,Date Purch,Year Purch,Amt Paid,Cur Value,PO Num,Last Service,Locker,Lock #,Combo,Accessories,Vendor,Comments,Assigned To F,Assigned To L,Date Assigned
Brass,Trombone,Yamaha,YSL-354,YT34-9011,BSD064102,BSD064102,,Good,1,08/24/2018,2018,1150.00,800.00,PO-121455,06/14/2024,"Band room, rack A",,,"Case, small shank mouthpiece",Kennelly Keys Music,,,,
Brass,Baritone Horn,Jupiter,JBR1000,JB-330219,BSD064108,BSD064108,,Good,1,08/24/2018,2018,1795.00,1200.00,PO-121455,,"Band room, rack A",,,"Case, mouthpiece",Ted Brown Music,,,,
Brass,French Horn,Holton,H602,H602-91220,BSD064111,BSD064111,,Fair,1,09/09/2013,2013,1700.00,900.00,,,"Band room, rack A",,,"Case, mouthpiece",Kennelly Keys Music,"Single F horn, sticky third valve",,,
Woodwind,Saxophone - Eb Alto,Yamaha,YAS-26,YA26-4478,BSD064120,BSD064120,,Excellent,1,01/17/2023,2023,1195.00,1050.00,PO-140233,,"Band room, cabinet 1",,,"Case, mouthpiece, ligature, neck strap",Music and Arts,,,,
Woodwind,Clarinet - Bb Bass,Yamaha,YCL-221,YC221-3390,BSD064124,BSD064124,,Good,1,10/06/2020,2020,3400.00,2600.00,PO-132870,05/30/2025,"Band room, cabinet 1",,,"Case, mouthpiece, ligature, neck strap, swab",Ted Brown Music,,,,
Woodwind,Oboe,Fox,Renard 330,FX330-1182,BSD064128,BSD064128,,Good,1,10/06/2020,2020,3950.00,3100.00,PO-132870,,"Band room, cabinet 1",,,"Case, cleaning swab",Music and Arts,Needs a new reed each season,,,
Percussion,Snare Drum Kit,Pearl,PL-900C,PL900-5541,BSD064140,BSD064140,,Good,1,08/24/2018,2018,349.00,190.00,PO-121455,,Percussion closet,,,"Stand, sticks, practice pad, rolling case",Music and Arts,,,,
Percussion,Bell Kit,Yamaha,YG-250D,YG250-7723,BSD064141,BSD064141,,Excellent,1,01/17/2023,2023,429.00,380.00,PO-140233,,Percussion closet,,,"Stand, mallets, case",Music and Arts,,,,
Percussion,Concert Bass Drum,Ludwig,LECB36,LU36-2019,BSD064142,BSD064142,,Fair,1,09/09/2013,2013,1850.00,700.00,,,Percussion room,,,"Stand, beater, cover",Kennelly Keys Music,"Head is worn, still usable",,,
Strings,Cello 4/4,Eastman,VC100,EVC100-30871,BSD064150,BSD064150,,Good,1,10/06/2020,2020,1150.00,850.00,PO-132870,,Orchestra room,,,"Padded case, bow, rosin, endpin stop",Hammond Ashley Violins,,,,
