Charms Office Assistant - Inventory - Lake Hills Band
Printed 08/20/2026

Category,Description,Brand,Model,Serial #,Barcode,District No.,Case #,Cond,Quantity,Date Purch,Year Purch,Amt Paid,Cur Value,PO Num,Last Service,Locker,Lock #,Combo,Accessories,Vendor,Comments,Assigned To F,Assigned To L,Date Assigned
Woodwind,Flute,Yamaha,YFL-222,YF222-31842,BSD068201,BSD068201,,Good,1,08/22/2019,2019,459.00,320.00,PO-129501,,Cabinet A,,,"Case, cleaning rod",Kennelly Keys Music,,,,
Woodwind,"Clarinet, Bb",Buffet Crampon,Prodige,B558814,BSD068210,BSD068210,,Excellent,1,08/21/2022,2022,649.00,560.00,PO-138560,,Cabinet A,,,"Case, mouthpiece, ligature, swab",Ted Brown Music,,,,
Woodwind,"Clarinet, Bb",Yamaha,YCL-255,YC255-52107,BSD068211,BSD068211,,Fair,1,08/22/2014,2014,399.00,170.00,,07/15/2024,Cabinet A,,,"Case, mouthpiece, ligature",Music and Arts,Pads replaced summer 2024,,,
Woodwind,Alto Saxophone,Yamaha,YAS-26,YA26-63321,BSD068220,BSD068220,,Good,1,08/21/2019,2019,1150.00,840.00,PO-129501,,Cabinet B,,,"Case, mouthpiece, ligature, neck strap",Kennelly Keys Music,,,,
Brass,"Trumpet, Bb",Jupiter,JTR700,JT700-74188,BSD068230,BSD068230,,Good,1,08/21/2019,2019,649.00,430.00,PO-129501,,Cabinet B,,,"Case, mouthpiece",Music and Arts,,,,
Brass,Cornet,King,603,K603-80236,BSD068231,BSD068231,,Fair,1,08/22/2011,2011,540.00,180.00,,,Cabinet B,,,"Case, mouthpiece",Kennelly Keys Music,"Older cornet, still a good starter",,,
Brass,Trombone,King,606,K606-85519,BSD068240,BSD068240,,Good,1,08/21/2019,2019,612.00,380.00,PO-129501,06/25/2025,Cabinet C,,,"Case, mouthpiece",Kennelly Keys Music,,,,
Brass,Baritone Horn,Jupiter,JBR1000,JB1000-90417,BSD068250,BSD068250,,Excellent,1,08/21/2022,2022,1795.00,1500.00,PO-138560,,"Floor, cabinet C",,,"Case, mouthpiece",Ted Brown Music,,,,
Percussion,Snare Drum Kit,Pearl,PL-900C,PL900-95122,BSD068260,BSD068260,,Needs Repair,1,08/21/2016,2016,349.00,150.00,,,Repair shelf,,,"Stand, sticks, rolling case",Music and Arts,"Snare strainer broken, part ordered",,,
Percussion,Bell Kit,Musser,M645,MU645-99208,BSD068261,BSD068261,,Good,1,08/22/2019,2019,398.00,250.00,PO-129501,,Percussion closet,,,"Stand, mallets",Music and Arts,,,,
